question,answer,explanation
"Which command would you use to create a Deployment named 'nginx-deploy' with 3 replicas using the nginx:1.20 image?

A) kubectl run nginx-deploy --image=nginx:1.20 --replicas=3
B) kubectl create deployment nginx-deploy --image=nginx:1.20 --replicas=3
C) kubectl apply -f deployment.yaml
D) kubectl create pod nginx-deploy --image=nginx:1.20 --replicas=3",B) kubectl create deployment nginx-deploy --image=nginx:1.20 --replicas=3,"The correct answer is B. This command directly creates a Deployment named 'nginx-deploy' with 3 replicas using the specified image. Option A is incorrect because 'kubectl run' no longer supports the '--replicas' flag in newer versions; it is mainly used for quick runs and not for detailed deployment management. Option C is a valid way if you have a YAML file, but it is not the direct command. Option D is incorrect because 'kubectl create pod' does not support the '--replicas' flag and is not suitable for creating multiple Pods as a Deployment does."
"Which of the following statements about controllers in Kubernetes is correct?

A) Controllers only run inside the Kubernetes control plane
B) Controllers can only manage resources within the cluster
C) Controllers can run inside or outside the control plane and may manage external systems
D) Controllers are not fault-tolerant and will stop working if one fails",C) Controllers can run inside or outside the control plane and may manage external systems,"The correct answer is C. Kubernetes controllers can be deployed within the control plane or externally, and some controllers interact with external systems to manage resources outside the cluster, such as cloud provider APIs. Option A is incorrect because controllers can also run outside the control plane. Option B is incorrect because controllers can manage external systems as well. Option D is incorrect because Kubernetes is designed to be resilient; if one controller fails, others can take over, ensuring fault tolerance."
"In Kubernetes, what API group do Lease objects belong to?

A) coordination.k8s.io
B) apps.k8s.io
C) core.k8s.io
D) batch.k8s.io",A) coordination.k8s.io,"The correct answer is A) coordination.k8s.io. Lease objects are part of the coordination.k8s.io API group, which is used for distributed coordination tasks such as leader election and node heartbeats. Option B) apps.k8s.io is incorrect because it's typically related to workload resources like Deployments and StatefulSets. Option C) core.k8s.io is incorrect as there is no such API group; core resources are in the core API group. Option D) batch.k8s.io pertains to batch jobs and CronJobs, not leases."
"Which namespace is used by default for storing Lease objects related to node heartbeats?

A) kube-system
B) kube-node-lease
C) default
D) kube-leases",B) kube-node-lease,"The correct answer is B) kube-node-lease. Kubernetes stores node heartbeat Leases in the 'kube-node-lease' namespace by default. This allows the control plane to track node availability through lease updates. Option A) kube-system is a common namespace for system components but not specifically for node heartbeats. Option C) default is the default namespace for user resources, not for node leases. Option D) kube-leases is incorrect because it is not a standard namespace in Kubernetes."
"What field in the Lease object is used by Kubernetes control plane to determine node availability?

A) spec.holderIdentity
B) spec.leaseDurationSeconds
C) spec.renewTime
D) metadata.creationTimestamp",C) spec.renewTime,"The correct answer is C) spec.renewTime. The Kubernetes control plane uses the 'renewTime' timestamp to determine whether a node is alive, as it indicates the last time the node sent a heartbeat update. Option A) holderIdentity identifies the current holder of the lease but does not directly determine node availability. Option B) leaseDurationSeconds specifies how long the lease is valid but isn't used directly for health checks. Option D) creationTimestamp indicates when the lease was created but does not reflect recent activity."
"Starting from which Kubernetes version did kube-apiserver begin publishing its identity using Leases?

A) v1.24
B) v1.25
C) v1.26
D) v1.27",C) v1.26,"The correct answer is C) v1.26. As indicated in the content, starting in Kubernetes v1.26, kube-apiserver uses the Lease API to publish its identity, which helps in discovering how many API server instances are running. Options A), B), and D) are incorrect because this feature was introduced specifically in v1.26 and not in earlier versions."
"Which command lists all Lease objects in the kube-system namespace with the label 'apiserver.kubernetes.io/identity=kube-apiserver'?

A) kubectl get lease -n kube-system
B) kubectl get lease -l apiserver.kubernetes.io/identity=kube-apiserver -n kube-system
C) kubectl describe lease -l apiserver.kubernetes.io/identity=kube-apiserver
D) kubectl get lease -A -l apiserver.kubernetes.io/identity=kube-apiserver",B) kubectl get lease -l apiserver.kubernetes.io/identity=kube-apiserver -n kube-system,"The correct answer is B) kubectl get lease -l apiserver.kubernetes.io/identity=kube-apiserver -n kube-system. This command lists Lease objects in the 'kube-system' namespace filtered by the specified label selector. Option A) lacks the label selector, so it lists all Lease objects in that namespace. Option C) uses 'describe', which provides detailed info but not a list with filtering. Option D) lists all namespaces but is not necessary here; the question specifies the 'kube-system' namespace."
Create a Lease named 'leader-election' in the 'default' namespace with a lease duration of 30 seconds using kubectl.,kubectl create lease leader-election --namespace=default --lease-duration=30,"This command creates a Lease resource named 'leader-election' in the 'default' namespace with a lease duration of 30 seconds. The '--lease-duration' flag sets how long the lease is valid before it expires if not renewed. Note that in actual practice, creating a Lease resource typically involves YAML or API calls; the 'kubectl create lease' command may need to be supplemented with a YAML manifest depending on the Kubernetes version. However, as a simplified example, this command aligns with the task. The key is understanding how to specify the name, namespace, and lease duration."
"Which controller within the cloud-controller-manager is responsible for updating Node objects when new servers are created in the cloud infrastructure?

A) Route controller
B) Service controller
C) Node controller
D) Cloud controller",C) Node controller,"The correct answer is C) Node controller. It is responsible for updating Node objects with information about the cloud servers, such as unique identifiers, labels, hostnames, and health status. Option A) Route controller manages network routes between nodes, not node object updates. Option B) Service controller handles load balancer and service integration with cloud infrastructure, not node objects. Option D) 'Cloud controller' is a general term, but the specific controller for node updates is the Node controller."
"Which RBAC verb permissions are required by the cloud-controller-manager's Service controller to update the status of a Service?

A) get, list, watch
B) patch, update
C) create, delete
D) get, patch, update","D) get, patch, update","The correct answer is D) get, patch, update. The Service controller needs 'get' to read Service objects, and 'patch' and 'update' to modify the status subresource of Services, such as load balancer details. Option A) get, list, watch are used for watching resources but not for updating status. Option B) patch, update alone are insufficient without 'get' to read the current state. Option C) create, delete are for resource lifecycle management, not status updates."
"What is the primary purpose of the cloud-controller-manager in Kubernetes?

A) To manage Pods and ReplicaSets
B) To embed cloud-specific control logic and interface with cloud provider APIs
C) To handle internal network routing between nodes
D) To monitor cluster health and perform scheduling",B) To embed cloud-specific control logic and interface with cloud provider APIs,"The correct answer is B) To embed cloud-specific control logic and interface with cloud provider APIs. The cloud-controller-manager allows Kubernetes to interact with cloud infrastructure via plugins, managing cloud resources such as nodes, routes, and load balancers. Option A) managing Pods and ReplicaSets is handled by the core Kubernetes controllers, not the cloud-controller-manager. Option C) internal network routing is the responsibility of network plugins or CNI, not this component. Option D) monitoring and scheduling are core Kubernetes functions, separate from cloud-specific control logic."
"Create a ClusterRole binding that grants the cloud-controller-manager full access to Node objects, including create, get, list, update, patch, watch, and delete permissions.

A) kubectl create clusterrolebinding cloud-controller --clusterrole=cluster-admin --user=system:serviceaccount:kube-system:cloud-controller
B) kubectl create clusterrolebinding cc-role --clusterrole=edit --serviceaccount=kube-system:cloud-controller
C) kubectl create clusterrolebinding cc-role --clusterrole=cluster-admin --serviceaccount=kube-system:cloud-controller
D) kubectl create clusterrolebinding cc-role --clusterrole=admin --user=system:serviceaccount:kube-system:cloud-controller",C) kubectl create clusterrolebinding cc-role --clusterrole=cluster-admin --serviceaccount=kube-system:cloud-controller,"The correct answer is C) to bind a ClusterRole with full permissions (like cluster-admin) to the specific ServiceAccount used by the cloud-controller-manager. This grants the necessary permissions, including create, get, list, update, patch, watch, and delete on Node objects. Option A) binds a user, not a ServiceAccount, and assigns cluster-admin privileges, which is overly permissive and not recommended. Option B) uses the 'edit' role, which has fewer permissions than necessary. Option D) binds to a user with 'admin' privileges but is not typical for service accounts; the preferred method is binding the ServiceAccount directly."
"Which interface does the cloud-controller-manager implement to allow cloud provider integrations?

A) CloudInterface
B) CloudProvider
C) CloudController
D) CloudPlugin",B) CloudProvider,The correct answer is B) CloudProvider. The CloudProvider interface defined in cloud.go is used by cloud controllers to implement cloud-specific logic. Option A) CloudInterface is not a standard Kubernetes interface. Option C) CloudController is not a defined interface in Kubernetes; controllers are part of the cloud provider implementation. Option D) CloudPlugin is also not a standard interface; plugins implement the CloudProvider interface.
"What is the primary benefit of cgroup v2 over cgroup v1 in Kubernetes resource management?

A) Support for multiple hierarchies
B) Unified control system with enhanced resource management capabilities
C) Compatibility only with legacy Linux kernels
D) Removal of resource isolation features",B) Unified control system with enhanced resource management capabilities,"The correct answer is B) cgroup v2 provides a single, unified hierarchy for resource control, offering improved resource management and isolation across various resources. Option A) is incorrect because cgroup v2 consolidates hierarchies rather than supports multiple separate ones. Option C) is incorrect because cgroup v2 requires Linux Kernel 5.8 or later, not legacy kernels. Option D) is incorrect because cgroup v2 enhances, rather than removes, resource isolation features."
"Which command can you run on a Linux node to determine whether it is using cgroup v1 or v2?

A) cat /proc/cgroups
B) systemctl status
C) stat -fc %T /sys/fs/cgroup/
D) uname -r",C) stat -fc %T /sys/fs/cgroup/,"The correct answer is C) 'stat -fc %T /sys/fs/cgroup/' outputs 'cgroup2fs' for cgroup v2 and 'tmpfs' for cgroup v1, allowing you to identify the cgroup version in use. Option A) 'cat /proc/cgroups' shows information about cgroups but does not clearly differentiate between v1 and v2. Option B) 'systemctl status' provides system service status but not cgroup version info. Option D) 'uname -r' shows kernel version, which is related but does not directly indicate cgroup version."
"Which Linux kernel version is required to support cgroup v2 in Kubernetes?

A) 4.15 or later
B) 5.8 or later
C) 3.10 or later
D) 6.0 or later",B) 5.8 or later,"The correct answer is B) Linux Kernel 5.8 or later is required for native support of cgroup v2. Option A) 4.15 is incorrect because it predates cgroup v2 support. Option C) 3.10 is incorrect for the same reason. Option D) 6.0 is correct but not the minimum; the minimum supported version is 5.8, making B the most accurate choice."
"How can you manually enable cgroup v2 on a Linux distribution that uses GRUB bootloader?

A) Add 'systemd.unified_cgroup_hierarchy=1' to /etc/default/grub and run 'sudo update-grub'
B) Set 'cgroup2' in /etc/cgroups.conf and reboot
C) Run 'systemctl enable cgroup-v2'
D) Edit /etc/cgroup/config and set 'v2=true'",A) Add 'systemd.unified_cgroup_hierarchy=1' to /etc/default/grub and run 'sudo update-grub',"The correct answer is A) To manually enable cgroup v2 on distributions using GRUB, you add 'systemd.unified_cgroup_hierarchy=1' to the GRUB_CMDLINE_LINUX in /etc/default/grub, then run 'sudo update-grub' to apply changes. Option B) is incorrect because there is no such file as /etc/cgroups.conf for this purpose. Option C) 'systemctl enable cgroup-v2' is invalid as there is no such systemd service. Option D) editing /etc/cgroup/config is not standard for enabling cgroup v2."
"Which container runtime versions support cgroup v2 in Kubernetes?

A) containerd v1.3 and cri-o v1.19
B) containerd v1.4 and cri-o v1.20
C) Docker v19.03 only
D) All container runtimes support cgroup v2 by default",B) containerd v1.4 and cri-o v1.20,The correct answer is B) containerd v1.4 and cri-o v1.20 support cgroup v2. Option A) is incorrect because containerd v1.3 and cri-o v1.19 do not support cgroup v2 natively. Option C) Docker v19.03 is outdated and not the recommended runtime for cgroup v2 support in Kubernetes. Option D) is incorrect because not all container runtimes support cgroup v2 by default; support depends on the specific version.
"What Kubernetes component is responsible for ensuring containers are running and restarting them if they fail?

A) kube-proxy
B) kubelet
C) API Server
D) scheduler",B) kubelet,"The correct answer is B) kubelet. The kubelet runs on each node and is responsible for managing the lifecycle of containers, ensuring they are running as specified, and restarting them if they fail. Option A) kube-proxy handles network routing and load balancing but does not manage container lifecycle. Option C) API Server exposes the Kubernetes API but does not directly manage container states. Option D) scheduler assigns Pods to nodes but does not handle container restarts."
"Which Kubernetes controller maintains the desired number of Pod replicas for stateless workloads?

A) StatefulSet
B) DaemonSet
C) Deployment
D) ReplicaSet",C) Deployment,The correct answer is C) Deployment. Deployments manage stateless applications and ensure that the specified number of pod replicas are running by creating and updating ReplicaSets accordingly. Option A) StatefulSet is used for stateful applications requiring persistent identities. Option B) DaemonSet ensures a Pod runs on each node but does not manage replica counts. Option D) ReplicaSet is used internally by Deployments to manage replicas but is not typically created directly by users for high-level management.
"Which self-healing feature allows Kubernetes to replace a failed Pod in a StatefulSet?

A) Container restart based on restartPolicy
B) Replica replacement managed by StatefulSet controller
C) Persistent volume reattachment
D) Service load balancing",B) Replica replacement managed by StatefulSet controller,"The correct answer is B) Replica replacement managed by StatefulSet controller. StatefulSets maintain stable identities for Pods and automatically replace failed Pods to meet the desired replica count. Option A) pertains to container restarts within a Pod, not Pod replacement. Option C) relates to persistent volume management, not Pod replacement. Option D) load balancing handles traffic routing but does not replace Pods."
Create a PersistentVolumeClaim named 'my-pvc' requesting 10Gi of storage of class 'standard'.,"kubectl apply -f - <<EOF
apiVersion: v1
kind: PersistentVolumeClaim
metadata:
  name: my-pvc
spec:
  accessModes:
    - ReadWriteOnce
  resources:
    requests:
      storage: 10Gi
  storageClassName: standard
EOF",This command creates a PersistentVolumeClaim (PVC) named 'my-pvc' requesting 10Gi of storage with the storage class 'standard'. It uses a YAML manifest piped into 'kubectl apply -f -' for quick creation. 'accessModes' specify how the volume can be mounted; 'ReadWriteOnce' allows a single node to read/write. The 'storage' resource requests 10Gi. Specifying 'storageClassName' ensures it binds to the appropriate StorageClass.
"If a Pod behind a Service fails, how does Kubernetes handle traffic routing?

A) It restarts the Pod automatically.
B) It removes the Pod from the Service's endpoints.
C) It creates a new Pod to replace it.
D) It scales the Deployment up.",B) It removes the Pod from the Service's endpoints.,"The correct answer is B) It removes the Pod from the Service's endpoints. Kubernetes continuously monitors Pod health, and if a Pod fails, it is automatically removed from the Service endpoints so that traffic is only routed to healthy Pods. Option A) refers to container restart, which is a separate self-healing mechanism. Option C) creating a new Pod is handled by higher-level controllers like Deployments, but the Service's endpoints update dynamically. Option D) scaling is a different process related to adjusting the number of Pods, not individual Pod failures."
"Which API version must a container runtime support to be compatible with Kubernetes v1.26 and later?

A) v1
B) v2
C) v1beta1
D) v2beta1",A) v1,"The correct answer is A) v1. Kubernetes v1.26 and later require that the container runtime supports the v1 CRI API. This ensures compatibility and proper registration of the node. Option B) v2 and options C) v1beta1, D) v2beta1 are incorrect because they are either non-existent or deprecated versions not supported by Kubernetes v1.26+ for CRI compliance."
"What is the primary purpose of the Container Runtime Interface (CRI) in Kubernetes?

A) To define a protocol for communication between kubelet and container runtime
B) To manage network policies for pods
C) To orchestrate storage volumes for containers
D) To monitor container resource usage",A) To define a protocol for communication between kubelet and container runtime,"The correct answer is A) To define a protocol for communication between kubelet and container runtime. CRI enables the kubelet to interact with various container runtimes without recompiling cluster components. Option B) managing network policies, C) orchestrating storage, and D) monitoring resource usage are responsibilities handled by other Kubernetes components or features, not CRI."
"Which flag is used with kubelet to specify the container runtime endpoint?

A) --container-runtime-endpoint
B) --runtime-endpoint
C) --cri-endpoint
D) --container-endpoint",A) --container-runtime-endpoint,The correct answer is A) --container-runtime-endpoint. This flag tells kubelet where to connect to the container runtime via gRPC. Option B) --runtime-endpoint is incorrect because it is not a valid flag. Option C) --cri-endpoint is incorrect; the correct flag is --container-runtime-endpoint. Option D) --container-endpoint does not exist in kubelet flags.
"In Kubernetes, what happens if the container runtime does not support the v1 CRI API when using Kubernetes v1.26 or later?

A) The kubelet will fail to register the node
B) The cluster will automatically downgrade to an earlier version
C) The kubelet will ignore the runtime and proceed
D) The container runtime will be automatically upgraded",A) The kubelet will fail to register the node,"The correct answer is A) The kubelet will fail to register the node because support for the v1 CRI API is mandatory for Kubernetes v1.26+. If the runtime does not support v1, registration fails. Option B) automatic downgrade is incorrect; Kubernetes does not perform automatic version downgrades. Option C) ignoring the runtime is incorrect as registration depends on v1 support. Option D) automatic runtime upgrade is incorrect; runtime support must be manually upgraded for compatibility."
"Which protocol does the CRI primarily use for communication between kubelet and container runtime?

A) HTTP
B) gRPC
C) TCP
D) UDP",B) gRPC,"The correct answer is B) gRPC. CRI defines the main communication protocol between kubelet and container runtime as gRPC, which is suitable for high-performance, language-agnostic RPC communication. Option A) HTTP is incorrect because CRI uses gRPC, not plain HTTP. Options C) TCP and D) UDP are transport protocols but not the specific protocol used at the CRI API level; gRPC typically runs over HTTP/2, which uses TCP."
"Which of the following resources is automatically cleaned up by Kubernetes garbage collection when it has no owner references?

A) Terminated pods
B) Running pods
C) PersistentVolumes with retain policy
D) Active Services",A) Terminated pods,"The correct answer is A) Terminated pods. Kubernetes garbage collection cleans up resources like terminated pods, completed jobs, and objects without owner references. Option B) Running pods are active and not cleaned up automatically. Option C) PersistentVolumes with retain policy are not automatically deleted; they require manual intervention. Option D) Active services are not subject to garbage collection based on owner references."
"What does setting the ownerReference.field.ownerDeletion=true on a dependent object enforce during cascading deletion?

A) Dependents are orphaned upon owner deletion
B) Dependents are deleted only after the owner is fully deleted
C) Dependents are deleted immediately, regardless of finalizers
D) Dependents are not deleted at all",B) Dependents are deleted only after the owner is fully deleted,"The correct answer is B) Dependents are deleted only after the owner is fully deleted. When ownerReference.ownerDeletion=true, Kubernetes ensures dependents are not deleted until the owner object has been completely removed, enforcing a strict delete order. Option A) is incorrect because this setting prevents orphaning dependents. Option C) is false because finalizers may delay deletion until cleanup tasks complete. Option D) is incorrect because dependents are intended to be deleted."
"Which command can you run to check for invalid cross-namespace owner references reported as events?

A) kubectl get events --all-namespaces
B) kubectl get events -A --field-selector=reason=OwnerRefInvalidNamespace
C) kubectl describe pod
D) kubectl get ownerreferences",B) kubectl get events -A --field-selector=reason=OwnerRefInvalidNamespace,"The correct answer is B) kubectl get events -A --field-selector=reason=OwnerRefInvalidNamespace. This command filters events across all namespaces for the specific reason related to invalid owner references, which is useful for diagnosing garbage collection issues. Option A) lists all events but does not filter by reason. Option C) describes a pod but does not show owner reference events. Option D) is not a valid command; owner references are part of resource metadata, not a standalone resource."
"In foreground cascading deletion, what is the role of the metadata.finalizers field?

A) It prevents the deletion of dependent objects.
B) It marks the owner object as being in deletion in progress.
C) It immediately deletes the owner object and all dependents.
D) It prevents the owner object from being deleted.",B) It marks the owner object as being in deletion in progress.,"The correct answer is B) It marks the owner object as being in deletion in progress. When foreground deletion is initiated, Kubernetes sets metadata.deletionTimestamp and metadata.finalizers to indicate deletion is underway, allowing dependent objects to be cleaned up before the owner is fully removed. Option A) is incorrect because finalizers do not prevent deletion but control cleanup order. Option C) describes background deletion, not foreground. Option D) is incorrect because finalizers are part of the deletion process, not a block."
"Which kubelet configuration setting controls the maximum age an image can remain unused before being eligible for garbage collection?

A) imageMinimumGCAge
B) imageMaximumGCAge
C) imageRetentionPeriod
D) imageUnusedTimeout",B) imageMaximumGCAge,"The correct answer is B) imageMaximumGCAge. This setting specifies the maximum duration an image can remain unused before it is considered for garbage collection. Option A) is incorrect because it suggests a minimum age, which is not a standard setting. Options C) and D) are not valid kubelet configuration parameters; the correct parameter is imageMaximumGCAge, which is a duration value (e.g., 12h45m)."
"Describe the purpose of the 'MaxPerPodContainer' parameter in kubelet garbage collection configuration.

A) It limits the total number of containers in the cluster.
B) It sets the maximum number of dead containers per pod.
C) It specifies the maximum age of a container before garbage collection.
D) It defines the maximum size of container logs to retain.",B) It sets the maximum number of dead containers per pod.,"The correct answer is B) It sets the maximum number of dead containers per pod. This parameter controls how many terminated containers are retained per pod before they are garbage collected. Option A) is incorrect because it does not limit total containers in the cluster, only per pod. Option C) relates to container age, which is controlled by MinAge. Option D) concerns log retention, which is unrelated to MaxPerPodContainer."
"What is the primary purpose of the Mixed Version Proxy feature in Kubernetes v1.33?

A) To enable rolling updates without downtime
B) To proxy resource requests between API servers running different versions
C) To improve network security between cluster components
D) To automatically upgrade API resources to the latest version",B) To proxy resource requests between API servers running different versions,"The correct answer is B) To proxy resource requests between API servers running different versions. This feature allows API servers with different Kubernetes versions to handle requests for resources they do not recognize locally by proxying those requests to peer API servers that can serve them. Option A) is incorrect because it pertains to rolling updates, not proxying. Option C) is incorrect because the primary goal isn't network security. Option D) is incorrect because the feature doesn't automatically upgrade resources but facilitates communication during version upgrades."
"Which feature gate must be enabled to activate the Mixed Version Proxy in the API server?

A) EnableAggregator
B) UnknownVersionInteroperabilityProxy
C) ProxyToPeerAPIServers
D) EnableProxyLayer",B) UnknownVersionInteroperabilityProxy,"The correct answer is B) UnknownVersionInteroperabilityProxy. This feature gate must be enabled to activate the mixed version proxy functionality, allowing the API server to proxy requests to peer servers with different versions. Option A) EnableAggregator is incorrect because it's unrelated to this specific feature. Option C) ProxyToPeerAPIServers is not a valid feature gate name in Kubernetes. Option D) EnableProxyLayer is also incorrect because it is not a recognized feature gate."
"In configuring the Mixed Version Proxy, which command-line argument specifies the CA certificate bundle used to verify peer API servers?

A) --peer-ca-file
B) --proxy-client-cert-file
C) --requestheader-client-ca-file
D) --peer-advertise-ip",A) --peer-ca-file,"The correct answer is A) --peer-ca-file. This argument specifies the path to the CA certificate bundle used by the source API server to verify the identity of peer API servers. Option B) --proxy-client-cert-file specifies the client certificate used by the API server to authenticate itself to peers. Option C) --requestheader-client-ca-file is used for request header authentication, not peer verification. Option D) --peer-advertise-ip specifies the IP address for peer communication, not the CA bundle."
"What happens if a resource request arrives at an API server that cannot serve the requested API version and the Mixed Version Proxy feature is enabled?

A) The API server returns a 404 Not Found response
B) The request is proxied to a peer API server that can serve the resource
C) The request is ignored and logged
D) The API server automatically upgrades the resource to the latest API version",B) The request is proxied to a peer API server that can serve the resource,"The correct answer is B) The request is proxied to a peer API server that can serve the resource. When the local API server cannot serve a specific API version, it attempts to proxy the request to a peer that recognizes the API group/version/resource. Option A) is incorrect because the API server will try to proxy first before returning 404. Option C) is incorrect because the request isn't ignored; it's proxied. Option D) is incorrect because the system doesn't upgrade resources automatically; it proxies requests to servers that can handle them."
