question,answer
"A Pod in namespace 'ns1' has an ownerReference pointing to a resource in a different namespace. What happens in Kubernetes v1.20+?

A) The Pod is successfully garbage collected.
B) The ownerReference is ignored.
C) A warning Event with reason 'OwnerRefInvalidNamespace' is reported.
D) The Kubernetes cluster becomes unstable.",C) A warning Event with reason 'OwnerRefInvalidNamespace' is reported.
"How can you check for events related to invalid ownerReferences in Kubernetes v1.20+?

A) `kubectl get events`
B) `kubectl get pods -A --field-selector=reason=OwnerRefInvalidNamespace`

C) `kubectl get events -A --field-selector=reason=OwnerRefInvalidNamespace`
D) `kubectl describe node`",C) `kubectl get events -A --field-selector=reason=OwnerRefInvalidNamespace`
Create a Kubernetes Job that runs a single container with the image `busybox` and executes the command `echo 'Hello from Job'`.,"kubectl create job hello-job -t --image=busybox --command=""['sh', '-c', 'echo ""Hello from Job""']"""
"Using kubectl, delete a deployment named 'my-deployment' and orphan its dependent pods.",kubectl delete deployment my-deployment --cascade=orphan
"A Kubernetes Pod specifies the image `myregistry.com/myapp:latest`.  What will happen if the `imagePullPolicy` is not specified?
A) The kubelet will pull the image only if it's not already present.
B) The kubelet will never pull the image.
C) The kubelet will always pull the image.
D) The Pod will fail to start due to a missing imagePullPolicy.",C) The kubelet will always pull the image.
"What is the correct format for specifying an image digest in a Kubernetes Pod definition?
A) `myregistry.com/myapp:sha256-abcdef123456`
B) `myregistry.com/myapp@sha256:abcdef123456`
C) `myregistry.com/myapp:abcdef123456`
D) `myregistry.com/myapp@abcdef123456`",B) `myregistry.com/myapp@sha256:abcdef123456`
Create a Kubernetes Deployment named `my-app` with 2 replicas using the image `my-registry/my-image:v1.0` and setting the `imagePullPolicy` to `Always`.,kubectl create deployment my-app --image=my-registry/my-image:v1.0 --replicas=2 --image-pull-policy=Always
"Which of the following `imagePullPolicy` settings will cause the kubelet to attempt to pull the image every time a container is launched?
A) `IfNotPresent`
B) `Never`
C) `Always`
D) `Optional`",C) `Always`
"You have a Deployment using the image `my-image:latest`.  To ensure consistent behavior and prevent unexpected updates, what is the best practice to modify the deployment spec?",kubectl set image deployment/my-deployment my-image=<image-digest>
"A Pod consistently shows the `ImagePullBackOff` status.  What is a likely cause?
A) The imagePullPolicy is set to `Never`.
B) The kubelet is unable to pull the image due to a network issue, incorrect image name, or lack of authentication.
C) The Deployment is scaled down to zero replicas.
D) The Pod's resource requests are too high.","B) The kubelet is unable to pull the image due to a network issue, incorrect image name, or lack of authentication."
"A container within a Kubernetes Pod needs to access the 'my-service' service.  Assuming the DNS addon is enabled, what environment variable will contain the host IP address of 'my-service'?",A) MY_SERVICE_HOST
What command will display the hostname of a container running inside a Kubernetes Pod?,A) hostname
How can you define environment variables for a container within a Pod definition?,A) Using the env field in the container specification
Create a Pod named 'my-pod' with a single container using the nginx:latest image and add an environment variable named MY_VAR with the value 'my-value'.,kubectl create pod my-pod -it --image=nginx:latest --env MY_VAR=my-value
"Which of the following is NOT a source of environment variables for a Kubernetes container?

A) Downward API
B) Container image

C) Kubernetes secrets directly mounted as environment variables
D) Service environment variables (e.g., FOO_SERVICE_HOST)",C) Kubernetes secrets directly mounted as environment variables
A container needs to access a service named 'database' running in the same namespace.  Which environment variable would provide the port number of the 'database' service?,A) DATABASE_SERVICE_PORT
"A Pod's specification includes `runtimeClassName: my-runtime`.  What happens if a RuntimeClass named 'my-runtime' does not exist?
A) The Pod will be scheduled to a node with a default RuntimeClass.
B) The Pod will be rejected by the scheduler.
C) The Pod will enter the 'Failed' phase.
D) The kubelet will ignore the `runtimeClassName` and use the default handler.",C) The Pod will enter the 'Failed' phase.
Create a RuntimeClass named 'my-secure-runtime' that uses the handler 'secure-runtime'.,kubectl create runtimeclass my-secure-runtime --handler=secure-runtime
"Which field in a RuntimeClass resource allows you to specify node selection constraints to ensure Pods using this RuntimeClass are scheduled only on compatible nodes?
A) `handler`
B) `overhead`
C) `scheduling`
D) `metadata.name`",C) `scheduling`
"You need to add resource overhead to a RuntimeClass.  Which field in the RuntimeClass definition is used for specifying this overhead?
A) `nodeSelector`
B) `tolerations`
C) `handler`
D) `overhead`",D) `overhead`
"A RuntimeClass is configured with `nodeSelector: {kubernetes.io/os: linux}`. A Pod also specifies `nodeSelector: {disktype: ssd}`. Where will the Pod be scheduled?
A) On nodes matching both `kubernetes.io/os: linux` and `disktype: ssd`.
B) On nodes matching either `kubernetes.io/os: linux` or `disktype: ssd`.
C) On any node with `kubernetes.io/os: linux`.
D) On any node with `disktype: ssd`.",A) On nodes matching both `kubernetes.io/os: linux` and `disktype: ssd`.
Create a Pod named `mypod` that utilizes the `my-secure-runtime` RuntimeClass.  The Pod should use the nginx:latest image.,kubectl create pod mypod --image=nginx:latest --runtime-class=my-secure-runtime
"Which lifecycle hook in Kubernetes is executed immediately before a container is terminated?

A) PostStart
B) PreStop
C) InitContainer
D) SidecarContainer",B) PreStop
"A PreStop hook fails if the container is already in a terminated or completed state. What happens if a PreStop hook hangs during execution?

A) The Pod immediately terminates.
B) The Pod remains in the 'Terminating' phase until the terminationGracePeriodSeconds expires.
C) The kubelet restarts automatically.
D) The container continues to run until the PostStart hook completes.",B) The Pod remains in the 'Terminating' phase until the terminationGracePeriodSeconds expires.
"What type of handler can pause a container for a specified duration during a lifecycle hook?

A) Exec
B) HTTP
C) Sleep
D) TCPSocket",C) Sleep
Define a PostStart hook that executes the script /usr/local/bin/init.sh within a container using an Exec handler. Assume the container is part of a Pod named 'my-pod'.,"kubectl edit pod my-pod -n <namespace> --from=json --patch='{""spec"":{""containers"":[{""name"":""<container-name>"",""lifecycle"":{""postStart"":{""exec"":{""command"":[""/bin/sh"",""-c"",""/usr/local/bin/init.sh""]}}}}]}}'"
"What is the delivery guarantee for Kubernetes lifecycle hooks (PostStart and PreStop)?

A) Exactly once
B) At least once
C) At most once
D) No guarantee",B) At least once
Create a Deployment named 'my-deployment' with a PreStop hook that executes the command '/usr/local/bin/cleanup.sh' before the container is terminated. Use the nginx:latest image.,"kubectl create deployment my-deployment --image=nginx:latest --replicas=1 -n <namespace> --from=json --patch='{""spec"":{""template"":{""spec"":{""containers"":[{""name"":""nginx"",""lifecycle"":{""preStop"":{""exec"":{""command"":[""/bin/sh"",""-c"",""/usr/local/bin/cleanup.sh""]}}}}]}}}}'"
"A Pod is in the 'CrashLoopBackOff' state. What does this typically indicate?

A) The Pod is successfully running.
B) The Pod is waiting for resources.
C) The Pod's containers are repeatedly failing and restarting.
D) The Pod has completed successfully.",C) The Pod's containers are repeatedly failing and restarting.
"What is the Kubernetes API object used to define the desired state of a Pod and its containers?

A) PodStatus
B) PodCondition
C) PodSpec
D) PodPhase",C) PodSpec
"A Node in your Kubernetes cluster has failed. What will happen to the Pods scheduled on that Node?

A) They will automatically be rescheduled to another Node.
B) They will remain in a Pending state indefinitely.
C) They will be marked for deletion after a timeout period.
D) They will continue running until manually deleted.",C) They will be marked for deletion after a timeout period.
Create a Pod named 'my-pod' with a single container running the 'busybox' image and a restartPolicy of 'OnFailure'.,kubectl run my-pod --image=busybox --restart=OnFailure
What command would you use to view the detailed status and logs of a Pod named 'my-failed-pod'?,kubectl describe pod my-failed-pod
"Which of the following container states indicates that a container has finished executing, either successfully or unsuccessfully?

A) Waiting
B) Running
C) Terminated
D) Pending",C) Terminated
"Which of the following probes is NOT supported by init containers?
A) livenessProbe
B) readinessProbe
C) startupProbe
D) All of the above",D) All of the above
"What happens if an init container fails and the Pod's restartPolicy is set to 'Never'?
A) The init container is restarted until it succeeds.
B) The Pod is considered failed.
C) The subsequent init containers are skipped.
D) The application containers start regardless of the init container failure.",B) The Pod is considered failed.
Create an init container named 'setup-db' that runs the command `mysqld_safe --user=mysql &` using the image `mysql:8.0`.,"kubectl create deployment myapp --image=nginx:latest --init-containers='{""name"":""setup-db"",""image"":""mysql:8.0"",""command"":[""mysqld_safe"",""--user=mysql"",""&""]}'"
"How do init containers interact with application containers within the same Pod?
A) They directly share memory and CPU with application containers.
B) They cannot interact with application containers at all.
C) They can interact via shared volumes.
D) They interact through environment variables passed during startup.",C) They can interact via shared volumes.
"An init container is designed to:
A) Run continuously alongside the application containers.
B) Execute to completion before the application containers start.
C) Monitor the health of the application containers.
D) Manage the resources allocated to the Pod.",B) Execute to completion before the application containers start.
"A sidecar container in Kubernetes is defined as:
A) A container that runs before the main application container and then terminates.
B) A secondary container that runs alongside the main application container, providing supporting functionality.
C) A container that runs only when the main application container fails.
D) A container that is responsible for scheduling Pods.","B) A secondary container that runs alongside the main application container, providing supporting functionality."
"What happens to a sidecar container with `restartPolicy: Always` when the main application container terminates?
A) The sidecar container immediately terminates.
B) The sidecar container continues running until explicitly stopped.
C) The sidecar container terminates after the main application container but before other init containers.
D) The sidecar container's termination is delayed until after the main application container.",D) The sidecar container's termination is delayed until after the main application container.
"Create a Pod named 'my-pod' with a main container named 'main-container' using the image 'busybox:latest' and a sidecar container named 'sidecar-container' using the image 'alpine:latest', both sharing a volume named 'shared-data'.","kubectl create pod my-pod --restart=Never -it --image=busybox:latest -n default --volume shared-data --volume-mount name=shared-data,mountPath=/data --init-container=logshipper  --init-container-image=alpine:latest --init-container-command=""sh"" --init-container-args=""-c"", tail -F /opt/logs.txt --init-container-volume-mounts name=shared-data,mountPath=/opt"
"Which statement is TRUE regarding resource requests and limits for sidecar containers in a Pod?
A) Sidecar containers inherit resource requests and limits from the main application container.
B) Sidecar containers cannot specify their own resource requests and limits.
C) The Pod's effective resource requests and limits consider the highest resource requests and limits among all containers (including sidecar containers and init containers).
D) Sidecar containers only use resources after the main application container has started.",C) The Pod's effective resource requests and limits consider the highest resource requests and limits among all containers (including sidecar containers and init containers).
"How are sidecar containers different from init containers in terms of lifecycle?
A) Both run before the main application container, but sidecars run concurrently.
B) Init containers run before and terminate before the app container, while sidecars run concurrently with the app container.
C) Sidecars run after the main application container starts, while init containers run before.
D) Both run concurrently with the main application container, but init containers have a higher priority.","B) Init containers run before and terminate before the app container, while sidecars run concurrently with the app container."
"Which of the following statements is NOT true about ephemeral containers in Kubernetes?
A) They are used for troubleshooting and inspection.
B) They are automatically restarted if they fail.
C) They are defined using a ContainerSpec similar to regular containers.
D) They cannot have ports or probes defined.",B) They are automatically restarted if they fail
"You need to debug a Pod running a distroless image that lacks debugging utilities.  Which Kubernetes feature would be MOST suitable for this task?
A) kubectl logs
B) kubectl exec
C) Ephemeral Containers
D) DaemonSets",C) Ephemeral Containers
What command would you use to add an ephemeral container named 'debug-container' with the image 'busybox' to a Pod named 'my-pod' in the 'default' namespace?,kubectl debug -it my-pod --image=busybox --name=debug-container
"Which of the following Kubernetes resources is used to specify an ephemeral container?
A) Deployment
B) StatefulSet
C) Pod
D) None of the above; ephemeral containers are added via a special API handler.",D) None of the above; ephemeral containers are added via a special API handler.
"Why are `resources` and `ports` fields disallowed in the specification of an ephemeral container?
A) To ensure resource isolation between containers.
B) Because Pod resource allocations are immutable.
C) To restrict the scope of the ephemeral container to observation only.
D) Both B and C.",D) Both B and C.
Assume a Pod named 'my-pod' exists.  Create an ephemeral container named 'troubleshoot' using the image 'alpine/sh' within this Pod.,kubectl debug -it my-pod --image=alpine/sh --name=troubleshoot
"Which of the following is NOT considered a voluntary disruption in Kubernetes?

A) Deleting a Deployment
B) A node experiencing a kernel panic
C) Updating a Deployment's pod template
D) Draining a node for maintenance",B) A node experiencing a kernel panic
Create a PodDisruptionBudget (PDB) named 'my-pdb' that allows for a maximum of 1 unavailable pod for a Deployment named 'my-deployment' that is labeled with app=my-app.,"kubectl create pdb my-pdb --selector=""app=my-app"" --max-unavailable=1"
"What is the primary purpose of a PodDisruptionBudget (PDB)?

A) To prevent involuntary disruptions
B) To limit the number of pods simultaneously unavailable due to voluntary disruptions
C) To ensure all pods are always healthy
D) To automatically restart failed pods",B) To limit the number of pods simultaneously unavailable due to voluntary disruptions
"What kubectl command can be used to gracefully remove pods from a node before decommissioning it?

A) kubectl delete node <node-name>
B) kubectl cordon <node-name>
C) kubectl drain <node-name>
D) kubectl uncordon <node-name>",C) kubectl drain <node-name>
"When using `kubectl drain`, which API call does it utilize to evict Pods?

A) Pod Delete API
B) Deployment Delete API
C) Eviction API
D) Node Delete API",C) Eviction API
"A Pod has one container with a memory request of 512Mi and a memory limit of 1Gi, and another container with a CPU request of 200m and a CPU limit of 500m. What QoS class will Kubernetes assign to this Pod?

A) Guaranteed
B) Burstable
C) BestEffort
D) Unassigned",B) Burstable
"A node is experiencing memory pressure.  Which QoS class of Pods will Kubernetes evict FIRST?

A) Guaranteed
B) Burstable
C) BestEffort
D) All Pods are evicted simultaneously",C) BestEffort
Create a Pod named 'my-guaranteed-pod' with one container named 'my-container' that has both CPU and memory requests and limits set to 100m and 256Mi respectively.  Use the nginx:latest image.,"kubectl create pod my-guaranteed-pod -it --image=nginx:latest --requests='{""cpu"":""100m"",""memory"":""256Mi""}' --limits='{""cpu"":""100m"",""memory"":""256Mi""}'"
"What are the minimum requirements for a Pod to be classified as 'Guaranteed' QoS?

A) At least one container must have a memory request.
B) All containers must have equal memory requests and limits, and equal CPU requests and limits.
C) All containers must have a CPU limit.
D) All containers must have a memory limit.","B) All containers must have equal memory requests and limits, and equal CPU requests and limits."
"A Pod has a container exceeding its CPU limit. What action will the kubelet take?

A) Evict the entire Pod.
B) Kill and restart the offending container.
C) Reduce the container's CPU allocation.
D) Evict all other containers in the Pod.",B) Kill and restart the offending container.
Create a Pod named 'my-besteffort-pod' using the nginx:latest image without specifying any resource requests or limits.,kubectl create pod my-besteffort-pod --image=nginx:latest
"Which of the following is NOT a requirement for using user namespaces in Kubernetes pods?

A) Linux kernel version 6.3 or later
B) Container runtime supporting user namespaces (e.g., runc 1.2+)
C) Support for idmap mounts on all pod volume filesystems
D)  Docker Engine as the container runtime",D) Docker Engine as the container runtime
"A pod is using user namespaces.  A process inside the container is running as root. What user ID will this process likely appear as when viewed using `ps aux` from the host machine?

A) root (UID 0)
B) A non-root UID assigned by the kubelet
C) The same UID specified by `runAsUser` in the pod spec
D)  UID 65534 (overflow UID)",B) A non-root UID assigned by the kubelet
"What Kubernetes API field must be set to `false` to enable user namespaces for a pod?

A) `pod.spec.securityContext.runAsUser`
B) `pod.spec.hostNetwork`
C) `pod.spec.hostUsers`
D) `pod.spec.securityContext.runAsGroup`",C) `pod.spec.hostUsers`
Assume you have a deployment named 'my-app' and want to enable user namespaces for its pods.  Provide the kubectl command to update the deployment's specification.,kubectl set env deployment/my-app -n <namespace> POD.spec.hostUsers=false
"Which capability, when granted to a pod using user namespaces, will NOT have its usual effect outside the pod's namespace?

A) CAP_NET_ADMIN
B) CAP_SYS_MODULE
C) CAP_CHOWN
D) CAP_SYS_ADMIN",D) CAP_SYS_ADMIN
"Which filesystem listed below does NOT inherently support idmap mounts in Linux kernel 6.3 (or later) and would likely require additional configuration for user namespaces to function correctly with pods that use this filesystem for volumes?

A) btrfs
B) ext4
C) tmpfs
D) aufs",D) aufs
"Which of the following Pod-level fields is NOT available via the Downward API as an environment variable?

A) metadata.name
B) spec.serviceAccountName
C) metadata.namespace
D) status.podIP",A) metadata.name
"Which of the following fields is available via `resourceFieldRef` in the Downward API?

A) metadata.annotations['myannotation']
B) spec.nodeName
C) limits.cpu
D) status.hostIP",C) limits.cpu
Create a pod named 'my-pod' with a container named 'my-container' that uses the Downward API to expose the pod's name as an environment variable named 'POD_NAME'.,"kubectl create -f - <<EOF
apiVersion: v1
kind: Pod
metadata:
  name: my-pod
spec:
  containers:
  - name: my-container
    image: busybox
    env:
    - name: POD_NAME
      valueFrom:
        fieldRef:
          fieldPath: metadata.name
EOF"
"A container's CPU request is updated while the container is running.  How will this be reflected in the Downward API?

A) Environment variables will immediately reflect the change.
B) A Downward API volume will be updated immediately, but environment variables will not unless the container restarts.
C) Neither environment variables nor the Downward API volume will be updated.
D) Both environment variables and the Downward API volume will immediately reflect the change.","B) A Downward API volume will be updated immediately, but environment variables will not unless the container restarts."
"How can you expose all of a pod's annotations via the Downward API?

A) As environment variables using `fieldRef`
B) As environment variables using `resourceFieldRef`
C) As files in a `downwardAPI` volume using `fieldRef`
D) As files in a `downwardAPI` volume using `resourceFieldRef`",C) As files in a `downwardAPI` volume using `fieldRef`
"What is the primary purpose of the `.spec.selector` field in a Kubernetes Deployment manifest?

A) To define the desired number of replicas.
B) To specify the container image to use.
C) To define how the Deployment finds and manages Pods.
D) To specify the resource limits for the Pods.",C) To define how the Deployment finds and manages Pods.
Which command shows the rollout status of a Deployment named 'my-deployment'?,kubectl rollout status deployment/my-deployment
"A Deployment's rollout is triggered only when which part of the Deployment specification is modified?

A) `.spec.replicas`
B) `.spec.template`
C) `.metadata.name`
D) `.spec.selector`",B) `.spec.template`
Update the Deployment 'nginx-deployment' to use the image 'nginx:1.18.0' for the container named 'nginx'.,kubectl set image deployment.v1.apps/nginx-deployment nginx=nginx:1.18.0
"What does the `READY` column in the output of `kubectl get deployments` represent?

A) The number of Pods that have been created.
B) The number of Pods that are currently running and healthy.
C) The number of Pods that are up-to-date with the latest deployment configuration.
D) The total number of desired Pods.",B) The number of Pods that are currently running and healthy.
Create a Deployment named 'my-app' with 2 replicas using the image 'my-image:latest' and a label 'app: my-app'.,kubectl create deployment my-app --image=my-image:latest --replicas=2 --labels=app=my-app
"A ReplicaSet has a selector that matches multiple Pods without an ownerReference. What will happen to these Pods?

A) The ReplicaSet will ignore them.
B) The ReplicaSet will adopt them and manage them.
C) The ReplicaSet will report an error.
D) The Pods will be deleted automatically.",B) The ReplicaSet will adopt them and manage them.
"What is the primary reason to use Deployments instead of directly managing ReplicaSets?

A) Deployments offer built-in support for Pod scheduling.
B) Deployments handle more complex networking configurations.
C) Deployments provide declarative updates and other features for managing ReplicaSets.
D) Deployments provide better security than using ReplicaSets directly.",C) Deployments provide declarative updates and other features for managing ReplicaSets.
Create a ReplicaSet named 'my-rs' with 2 replicas using the image 'my-image:v1' and label 'app: my-app'.,kubectl create replicaset my-rs --replicas=2 --image=my-image:v1 --labels app=my-app
"Which field in a Pod's metadata indicates ownership by a ReplicaSet?

A) `labels`
B) `annotations`
C) `ownerReferences`
D) `spec`",C) `ownerReferences`
"You have a ReplicaSet with a `replicas` value of 3 and a `selector` that matches 5 Pods.  What happens?

A) The ReplicaSet will create 2 more Pods.
B) The ReplicaSet will delete 2 Pods to maintain the desired count.
C) The ReplicaSet will report an error.
D) The ReplicaSet will leave the extra Pods unchanged.",B) The ReplicaSet will delete 2 Pods to maintain the desired count.
"List all ReplicaSets in the 'default' namespace, showing only the NAME and DESIRED columns.","kubectl get rs -n default -o wide --no-headers | awk '{print $1, $3}'"
"Which Kubernetes object is responsible for managing the persistent identity and storage of Pods?

A) Deployment
B) ReplicaSet
C) StatefulSet
D) DaemonSet",C) StatefulSet
